Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/30/2021,MONTHLY FEE,MONTHLY FEE,10.4,debit,Bank Fee,First Premier Bankcard,,
12/30/2021,MINIMUM INTEREST CHARGE,MINIMUM INTEREST CHARGE,1,debit,Finance Charge,First Premier Bankcard,,
12/30/2021,REMOTE ONLINE DEPOSIT # 1 1,REMOTE ONLINE DEPOSIT #,100,credit,Income,TOTAL CHECKING,,
12/29/2021,Amazon,AMZN Mktp US*JK3YC5IL3,9.84,debit,Shopping,CREDITCARD Account,,
12/29/2021,Amazon,Amazon.com*OG01H7L53,11.4,debit,Shopping,CREDITCARD Account,,
12/29/2021,Amazon,AMZN Mktp US*F20Q65303,29.71,debit,Shopping,CREDITCARD Account,,
12/29/2021,CAPITAL ONE CRCARDPMT 3H8A KBOUEONWE7A WEB ID: 9541719018,CAPITAL ONE      CRCARDPMT  3H8A,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/29/2021,REAL TIME TRANSFER RECD FROM ABA /021000021 FROM: VENMO REF: 21122921374041393 INFO: IID: 2021122902,REAL TIME TRANSFER RECD FROM ABA,98.5,credit,Transfer,TOTAL CHECKING,,
12/29/2021,To CA LIFORNIA STATE DISBURSEMENT 12/29,Online Payment 13094979003 To CA,51,debit,Child Support,TOTAL CHECKING,,
12/28/2021,Ext Credit Card Credit PAYMENT THANK YOU BEAVERTON OR,Ext Credit Card Credit PAYMENT,51.12,credit,Credit Card Payment,Mastercard Platinum,,
12/28/2021,CAPITAL ONE AUTOPAY payment AuthDate 28-D ec,CAPITAL ONE AUTOPAY PYMT AuthDate 28-D ec,25,credit,Credit Card Payment,CREDITCARD Account,,
12/28/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,1082.11,credit,Credit Card Payment,CREDITCARD Account,,
12/27/2021,Withdrawal Thorne payment from 9334319176 CK,Withdrawal Thorne Pmt from 93343,51.12,debit,Credit Card Payment,Dividend Rewards Checking,,
12/27/2021,ATM CASH DEPOSIT 12/27 8985 VENI CE BLVD LOS ANGELES CA,ATM CASH DEPOSIT 12/27 8985 VENI,1100,credit,Income,TOTAL CHECKING,,
12/27/2021,To CR EDIT ONE BANK 12/27,Online Payment 13321189928 To CR,156.72,debit,Credit Card Payment,TOTAL CHECKING,,
12/27/2021,To CA PITAL ONE CREDIT CARD 12/27,Online Payment 13321074974 To CA,1082.11,debit,Credit Card Payment,TOTAL CHECKING,,
12/25/2021,Google Domains,Ext Credit Card Debit GOOGLEDOMA,6,debit,Internet,Mastercard Secure,,
12/24/2021,7-Eleven,Ext Credit Card Debit 7ELEVEN 18,1.42,debit,Fast Food,Mastercard Secure,,
12/24/2021,Google Domains,Ext Credit Card Debit GOOGLEDOMA,12,debit,Internet,Mastercard Secure,,
12/24/2021,Google,Google Ad Hoc Labs,14.99,debit,Advertising,CREDITCARD Account,,
12/24/2021,Facebook,FACEBK 5UQ7VBKDK2,50.9,debit,Advertising,CREDITCARD Account,,
12/24/2021,US Department of Education,Online Payment 13076241230 To US,20,debit,Student Loan,TOTAL CHECKING,,
12/23/2021,Amazon,Ext Credit Card Debit AMAZONCOM6,5.68,debit,Shopping,Mastercard Secure,,
12/23/2021,Online Transfer from CHK ...8590 transaction#: 13293814987,Online Transfer from CHK ...8590,323.6,credit,Transfer,BUS COMPLETE CHK,,
12/23/2021,Google,Google Intuit Inc,14.99,debit,Advertising,CREDITCARD Account,,
12/23/2021,Google Storage,Google Storage,1.99,debit,Internet,CREDITCARD Account,,
12/23/2021,Online Transfer to CHK ...0923 t ransaction#: 13293814987 12/23,Online Transfer to CHK ...0923 t,323.6,debit,Transfer,TOTAL CHECKING,,
12/23/2021,United Pacific,76 - UNITED PACIFIC 15 LOS ANGEL,22.52,debit,Gas & Fuel,TOTAL CHECKING,,
12/23/2021,Truebill Premium ST-U 5W5L7Z6Q8P1 CCD ID: 4270465600,Truebill         Premium    ST-U,3,debit,Clothing,TOTAL CHECKING,,
12/22/2021,Ext Credit Card Credit PAYMENT THANK YOU BEAVERTON OR,Ext Credit Card Credit PAYMENT,50,credit,Credit Card Payment,Mastercard Platinum,,
12/22/2021,Ext Credit Card Credit PAYMENT THANK YOU BEAVERTON OR,Ext Credit Card Credit PAYMENT,98.08,credit,Credit Card Payment,Mastercard Secure,,
12/22/2021,Amazon,Ext Credit Card Debit AMZN MKTP,18.6,debit,Shopping,Mastercard Secure,,
12/22/2021,Ext Credit Card Debit SPECTRUM 8557077328 MO,Ext Credit Card Debit SPECTRUM,17.99,debit,Credit Card Payment,Mastercard Secure,,
12/22/2021,Zelle payment from AMANUEL YONAS 13292835850,Zelle payment from AMANUEL YONAS,370,credit,Transfer,TOTAL CHECKING,,
12/21/2021,Spotify,Ext Credit Card Debit SPOTIFY US,9.99,debit,Music,Mastercard Secure,,
12/21/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CREDITCARD Account,,
12/21/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,122.23,credit,Credit Card Payment,CREDITCARD Account,,
12/21/2021,Zelle payment from BEATRICE WILL IAMS CTIKnsj7fPtL,Zelle payment from BEATRICE WILL,25,credit,Transfer,TOTAL CHECKING,,
12/21/2021,Credit One Bank Payment 3781 3063 WEB ID: WEB000004,Credit One Bank  Payment    3781,5,debit,Credit Card Payment,TOTAL CHECKING,,
12/21/2021,Zelle payment to Oki CloseOuts 1 3282881070,Zelle payment to Oki CloseOuts 1,10,debit,Transfer,TOTAL CHECKING,,
12/20/2021,Withdrawal Thorne payment from 9334319176 CK,Withdrawal Thorne Pmt from 93343,98.08,debit,Credit Card Payment,Dividend Rewards Checking,,
12/20/2021,Amazon,AMZN MKTP US AMZN.COM/,13.13,credit,Shopping,CREDITCARD Account,,
12/20/2021,To CA PITAL ONE 12/20,Online Payment 13277302306 To CA,122.23,debit,Credit Card Payment,TOTAL CHECKING,,
12/20/2021,Zelle payment from BEATRICE WILL IAMS CTIfkHx2fi3b,Zelle payment from BEATRICE WILL,25,credit,Transfer,TOTAL CHECKING,,
12/20/2021,REAL TIME TRANSFER RECD FROM ABA /021000021 FROM: VENMO REF: 21122003541132315 INFO: IID: 2021121902,REAL TIME TRANSFER RECD FROM ABA,98.5,credit,Transfer,TOTAL CHECKING,,
12/20/2021,To CA PITAL ONE CREDIT CARD 12/20,Online Payment 13277304092 To CA,100,debit,Credit Card Payment,TOTAL CHECKING,,
12/20/2021,Zelle payment from BEATRICE WILL IAMS CTIm4cgLttNv,Zelle payment from BEATRICE WILL,75,credit,Transfer,TOTAL CHECKING,,
12/20/2021,Amzn Mktp Us,AMZN Mktp US Amzn.com/bill WA,18.6,credit,Income,TOTAL CHECKING,,
12/20/2021,Cash,CASH APP*JEFFREY GO 8774174551 C,200,debit,Business Services,TOTAL CHECKING,,
12/18/2021,Ext Credit Card Debit Interest Charge on Purcha,Ext Credit Card Debit Interest C,61.76,debit,Finance Charge,Mastercard Secure,,
12/17/2021,First Tech Fcu,First Tech FCU   ExtrnlTfr  Bria,700,credit,Income,TOTAL CHECKING,,
12/16/2021,6TH AVE LIQUOR STORE LOS ANGELES CA 12/14,6TH AVE LIQUOR STORE LOS ANGELES,35.65,debit,Alcohol & Bars,TOTAL CHECKING,,
12/16/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,62.9,credit,Income,TOTAL CHECKING,,
12/15/2021,Transfer from Bank Account,Transfer from Bank Account,24.73,credit,Transfer,PayPal Account,,
12/15/2021,"Online Labels, Inc.","Purchase from Online Labels, Inc.",24.73,debit,Credit Card Payment,PayPal Account,,
12/15/2021,Descriptive Withdrawal OLB External Transfer,Descriptive Withdrawal OLB Exter,700,debit,Transfer,Dividend Rewards Checking,,
12/15/2021,Descriptive Withdrawal P2P Transfer,Descriptive Withdrawal P2P Trans,85,debit,Transfer,Dividend Rewards Checking,,
12/15/2021,Primerica,PRIMERICA LIFE   INS. PREM,97.63,debit,Life Insurance,TOTAL CHECKING,,
12/15/2021,Internal Revenue Service,INSUFFICIENT FUNDS FEE FOR A $30,34,debit,Federal Tax,TOTAL CHECKING,,
12/15/2021,Amazon,AMZN Mktp US*6F2UL45 Amzn.com/bi,18.6,debit,Shopping,TOTAL CHECKING,,
12/15/2021,PayPal,PAYPAL           INST XFER  ONLI,24.73,debit,Shopping,TOTAL CHECKING,,
12/15/2021,PayPal,INSUFFICIENT FUNDS FEE FOR A $24,34,debit,Shopping,TOTAL CHECKING,,
12/15/2021,Internal Revenue Service,IRS              USATAXPYMT,300,debit,Federal Tax,TOTAL CHECKING,,
12/14/2021,Etsy,Purchase from ETSY INC,2.39,debit,Shopping,PayPal Account,,
12/14/2021,Paypal,Withdraw from PayPal,2.39,credit,Income,PayPal Account,,
12/14/2021,Amazon,AMZN MKTP US*YN5EW84H3,13.13,debit,Shopping,CREDITCARD Account,,
12/14/2021,CAPITAL ONE MOBILE payment 3H4X G8AXWLI0EEE WEB ID: 9279744980,CAPITAL ONE      MOBILE PMT 3H4X,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/14/2021,Jasper JSPayment 1500 927 WEB ID: 1475203075,Jasper           JSPayment  1500,5.95,debit,Misc Expenses,TOTAL CHECKING,,
12/13/2021,Amazon,AMZN Mktp US*AF12O8OB3,28.73,debit,Shopping,CREDITCARD Account,,
12/13/2021,Amazon,AMZN Mktp US*P002O7TX3,30.65,debit,Shopping,CREDITCARD Account,,
12/13/2021,CAPITAL ONE MOBILE payment AuthDate 12-D ec,CAPITAL ONE MOBILE PYMT AuthDate 12-D ec,25,credit,Credit Card Payment,CREDITCARD Account,,
12/13/2021,Amazon,AMZN Mktp US*JP0UF45W3,26.27,debit,Shopping,CREDITCARD Account,,
12/13/2021,Amazon,Amazon Prime*707TY5MA3,14.22,debit,Shopping,CREDITCARD Account,,
12/13/2021,Amazon,AMZN Mktp US*Z39YF3EF3,13.13,debit,Shopping,CREDITCARD Account,,
12/13/2021,Home Depot,THE HOME DEPOT #1039 LOS ANGELES,50.01,debit,Shopping,TOTAL CHECKING,,
12/13/2021,Cash,CASH APP*JEFFREY GO 8774174551 C,180,debit,Business Services,TOTAL CHECKING,,
12/13/2021,McDonald's,MCDONALD'S F10757 SANTA ANA CA,4.77,debit,Fast Food,TOTAL CHECKING,,
12/13/2021,Arco,ARCO #42186 LOS ANGELES CA,18.39,debit,Gas & Fuel,TOTAL CHECKING,,
12/11/2021,NEXT INS. - IM,NEXT INS. - IM,37.25,debit,Shopping,CREDITCARD Account,,
12/11/2021,AutoZone,AUTOZONE #5419,88.11,debit,Service & Parts,CREDITCARD Account,,
12/11/2021,AutoZone,AUTOZONE #5419,72.26,debit,Service & Parts,CREDITCARD Account,,
12/10/2021,Credit,CREDIT BALANCE REFUND; ,100,debit,Transfer,OpenSky Secured Card ending in 4855,,
12/10/2021,INSUFFICIENT FUNDS FEE FOR A $19 7.94 ITEM - DETAILS: ORIG CO NAME:Infinity Insuran ORIG ID:43109438,INSUFFICIENT FUNDS FEE FOR A $19,34,debit,Bank Fee,BUS COMPLETE CHK,,
12/10/2021,Infinity Insurance,ORIG CO NAME:Infinity Insuran,197.94,debit,Auto Insurance,BUS COMPLETE CHK,,
12/10/2021,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,44.51,debit,Finance Charge,CREDITCARD Account,,
12/10/2021,Twine By John,TWINE BY JOHN HA ACH,7.74,credit,Income,TOTAL CHECKING,,
12/09/2021,Ext Credit Card Credit PAYMENT THANK YOU BEAVERTON OR,Ext Credit Card Credit PAYMENT,25,credit,Credit Card Payment,Mastercard Secure,,
12/09/2021,B2B Prime*OB8SM6I43,B2B Prime*OB8SM6I43,75.56,debit,Groceries,CREDITCARD Account,,
12/09/2021,Facebook,FACEBK W6BARCPDK2,50,debit,Advertising,CREDITCARD Account,,
12/09/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
12/09/2021,Chevron,CHEVRON 0091400 LOS ANGELES CA,81.86,debit,Gas & Fuel,TOTAL CHECKING,,
12/09/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,56.18,credit,Income,TOTAL CHECKING,,
12/09/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,70,credit,Income,TOTAL CHECKING,,
12/09/2021,National General Insurance,NATIONAL GENERAL PAYMENT,136.48,debit,Auto Insurance,TOTAL CHECKING,,
12/08/2021,McDonald's,Ext Credit Card Debit MCDONALDS,4.7,debit,Fast Food,Mastercard Secure,,
12/08/2021,PAYMENT - THANK YOU;,PAYMENT - THANK YOU; ,25,credit,Credit Card Payment,OpenSky Secured Card ending in 4855,,
12/08/2021,Online Transfer from MMA ...4104 transaction#: 13190180350,Online Transfer from MMA ...4104,10,credit,Transfer,BUS COMPLETE CHK,,
12/08/2021,Online Transfer to CHK ...0923 t ransaction#: 13190180350 12/08,Online Transfer to CHK ...0923 t,10,debit,Transfer,CHASE BUS TOTAL SAV,,
12/08/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,15,credit,Credit Card Payment,CREDITCARD Account,,
12/08/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,48.08,credit,Income,TOTAL CHECKING,,
12/07/2021,To CR EDIT ONE BANK 12/07,Online Payment 12951780442 To CR,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/07/2021,Credit Union,Online Payment 12951780394 To Fi,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/07/2021,To FI RST PROGRESS 12/07,Online Payment 12951723595 To FI,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/07/2021,REAL TIME TRANSFER RECD FROM ABA /021000021 FROM: VENMO REF: 21120720372447988 INFO: IID: 2021120702,REAL TIME TRANSFER RECD FROM ABA,52.21,credit,Transfer,TOTAL CHECKING,,
12/07/2021,To CA PITAL ONE 12/07,Online Payment 12951780518 To CA,15,debit,Credit Card Payment,TOTAL CHECKING,,
12/07/2021,Zelle payment from AMANUEL YONAS 13181495922,Zelle payment from AMANUEL YONAS,300,credit,Transfer,TOTAL CHECKING,,
12/06/2021,Linode,Ext Credit Card Debit LINODECOM,5.4,debit,Business Services,Mastercard Secure,,
12/06/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
12/04/2021,Chevron,CHEVRON 0091621,49.2,debit,Gas & Fuel,CREDITCARD Account,,
12/04/2021,Public Storage,Ext Credit Card Debit PUBLIC STO,242,debit,Home,Mastercard Secure,,
12/03/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
12/03/2021,Etsy,PAYPAL *ETSY INC,9.4,debit,Shopping,CREDITCARD Account,,
12/03/2021,DBA WINALL 005 GARDENA CA 12/03,DBA WINALL 005 GARDENA CA,28.14,debit,Gas & Fuel,TOTAL CHECKING,,
12/03/2021,Ext Credit Card Debit Interest Charge on Purcha,Ext Credit Card Debit Interest C,1.12,debit,Finance Charge,Mastercard Platinum,,
12/02/2021,from Credit Card,Withdraw from Credit Card,9.4,credit,Credit Card Payment,PayPal Account,,
12/02/2021,Etsy,Purchase from ETSY INC,9.4,debit,Shopping,PayPal Account,,
12/02/2021,Malin Asset Mana RESIDENT 233 558372 WEB ID: 2273639005,Malin Asset Mana RESIDENT    233,1631.56,debit,Mortgage & Rent,TOTAL CHECKING,,
12/01/2021,Facebook,FACEBK G6TDGCPDK2,17,debit,Advertising,CREDITCARD Account,,
12/01/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,56.18,credit,Income,TOTAL CHECKING,,
12/01/2021,Fresh and Meaty Burgers,FRESH AND MEATY BURGER LOS ANGEL,9.86,debit,Fast Food,TOTAL CHECKING,,
12/01/2021,To op ensky 12/01,Online Payment 12918595960 To op,25,debit,Credit Card Payment,TOTAL CHECKING,,
12/01/2021,ATM CASH DEPOSIT 12/01 3738 CREN SHAW BLVD LOS ANGELES CA,ATM CASH DEPOSIT 12/01 3738 CREN,400,credit,Income,TOTAL CHECKING,,
12/01/2021,ATM CHECK DEPOSIT 12/01 3738 CRE NSHAW BLVD LOS ANGELES CA,ATM CHECK DEPOSIT 12/01 3738 CRE,300,credit,Income,TOTAL CHECKING,,
12/01/2021,Ext Credit Card Credit PAYMENT THANK YOU BEAVERTON OR,Ext Credit Card Credit PAYMENT,100,credit,Credit Card Payment,Mastercard Secure,,
11/30/2021,MONTHLY SERVICE FEE,MONTHLY SERVICE FEE,15,debit,Bank Fee,BUS COMPLETE CHK,,
11/30/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CREDITCARD Account,,
11/30/2021,ELECTRONIC PAYMENT,ELECTRONIC PAYMENT,250,credit,Credit Card Payment,CREDITCARD Account,,
11/30/2021,Zelle payment from SACHI NOHARA 13128151775,Zelle payment from SACHI NOHARA,170,credit,Transfer,TOTAL CHECKING,,
11/30/2021,CAPITAL ONE CRCARDPMT 3H1Y M3LPBWS8MAU WEB ID: 9541719018,CAPITAL ONE      CRCARDPMT  3H1Y,25,debit,Credit Card Payment,TOTAL CHECKING,,
11/30/2021,Zelle payment from KALAAN AHMAD RAYSUAN FITZHUGH 13123362756,Zelle payment from KALAAN AHMAD,250,credit,Transfer,TOTAL CHECKING,,
11/30/2021,7-Eleven,7-ELEVEN LOS ANGELES CA,14.16,debit,Fast Food,TOTAL CHECKING,,
11/30/2021,Carl's Jr,CARLS JR GB 7375 SAN GABRIEL CA,13.33,debit,Fast Food,TOTAL CHECKING,,
11/30/2021,SAMMYS LIQUOR LOS ANGELES CA 11/30,SAMMYS LIQUOR LOS ANGELES CA,3.65,debit,Alcohol & Bars,TOTAL CHECKING,,
11/30/2021,Deposit 2BA94765C11249B PAYMENTS,ACH Deposit 2BA94765C11249B   PA,444,credit,Income,Dividend Rewards Checking,,
11/30/2021,Credit Dividend,Credit Dividend,0.02,credit,Investments,Dividend Rewards Checking,,
11/29/2021,Interest Charge on Purchases,Interest Charge on Purchases,0,credit,Finance Charge,First Premier Bankcard,,
11/29/2021,MONTHLY FEE,MONTHLY FEE,10.4,debit,Bank Fee,First Premier Bankcard,,
11/29/2021,Interest Charge on Cash Advances,Interest Charge on Cash Advances,0,credit,Finance Charge,First Premier Bankcard,,
11/29/2021,CAPITAL ONE AUTOPAY payment AuthDate 28-N ov,CAPITAL ONE AUTOPAY PYMT AuthDate 28-N ov,25,credit,Credit Card Payment,CREDITCARD Account,,
11/29/2021,Target,TARGET        00027755,21.92,debit,Shopping,CREDITCARD Account,,
11/29/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/29/2021,To CA PITAL ONE CREDIT CARD 11/29,Online Payment 13103451407 To CA,100,debit,Credit Card Payment,TOTAL CHECKING,,
11/29/2021,Credit Union,Online Payment 13103453564 To Fi,100,debit,Auto Payment,TOTAL CHECKING,,
11/29/2021,REAL TIME TRANSFER RECD FROM ABA /021000021 FROM: COINBASE REF: 7EPFNUQV INFO: IID: 2021112802100002,REAL TIME TRANSFER RECD FROM ABA,274.81,credit,Transfer,TOTAL CHECKING,,
11/29/2021,Arco,ARCO #42078 AMPM CANYON COUNTR C,75.55,debit,Gas & Fuel,TOTAL CHECKING,,
11/29/2021,AutoZone,AUTOZONE  5419 1905 S LOS ANGELE,19.7,debit,Service & Parts,TOTAL CHECKING,,
11/29/2021,To CA PITAL ONE 11/29,Online Payment 13103450212 To CA,250,debit,Credit Card Payment,TOTAL CHECKING,,
11/29/2021,Zelle payment from PHORNCHANOK S OUVANNASENG CTIwgmxjcJgk,Zelle payment from PHORNCHANOK S,95,credit,Transfer,TOTAL CHECKING,,
11/26/2021,To CA LIFORNIA STATE DISBURSEMENT 11/26,Online Payment 12896276867 To CA,51,debit,Child Support,TOTAL CHECKING,,
11/26/2021,TACOS EL CAPORAL Fillmore CA 11/24,SQ *TACOS EL CAPORAL Fillmore CA,8.62,debit,Restaurants,TOTAL CHECKING,,
11/26/2021,Chevron,CHEVRON 0099266 SANTA MONICA CA,24.89,debit,Gas & Fuel,TOTAL CHECKING,,
11/25/2021,Ext Credit Card Credit 24 HOUR FITNESS USA I 8004326348 CA,Ext Credit Card Credit 24 HOUR F,24.24,credit,Credit Card Payment,Mastercard Secure,,
11/25/2021,Ext Credit Card Credit 24 HOUR FITNESS USA I 8004326348 CA,Ext Credit Card Credit 24 HOUR F,7.33,credit,Credit Card Payment,Mastercard Secure,,
11/24/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/24/2021,Google Domains,GOOGLE*DOMAINS,6,debit,Internet,CREDITCARD Account,,
11/24/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/24/2021,eBay,eBay O*10-07907-82986,54.74,debit,Shopping,CREDITCARD Account,,
11/24/2021,Ad Hoc Labs,GOOGLE *Ad Hoc Labs,14.99,debit,Restaurants,CREDITCARD Account,,
11/24/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,112,credit,Income,TOTAL CHECKING,,
11/24/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,87.49,credit,Income,TOTAL CHECKING,,
11/23/2021,Amazon,AMZN Mktp US*NT29R6UL3,54.74,debit,Shopping,CREDITCARD Account,,
11/23/2021,Chevron,CHEVRON 0091400 LOS ANGELES CA,100.5,debit,Gas & Fuel,TOTAL CHECKING,,
11/23/2021,Arco,ARCO #42626 AMPM SANTA MONICA CA,35.39,debit,Gas & Fuel,TOTAL CHECKING,,
11/23/2021,Truebill Truebill P ST-O 4B4Y2W2O6A0 CCD ID: 4270465600,Truebill         Truebill P ST-O,3,debit,Service Fee,TOTAL CHECKING,,
11/23/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,100,credit,Income,TOTAL CHECKING,,
11/23/2021,US Department of Education,Online Payment 12869412119 To US,20,debit,Student Loan,TOTAL CHECKING,,
11/22/2021,SELLER-ONLN,PAYPAL *SELLER-ONLN,0.56,debit,Doctor,CREDITCARD Account,,
11/22/2021,Google Storage,GOOGLE *Google Storage,1.99,debit,Electronics & Software,CREDITCARD Account,,
11/22/2021,Zelle payment to Bobby 130709756 64,Zelle payment to Bobby 130709756,300,debit,Transfer,TOTAL CHECKING,,
11/22/2021,CAPITAL ONE MOBILE payment 3H02 SKMIKJV1146 WEB ID: 9279744980,CAPITAL ONE      MOBILE PMT 3H02,33.37,debit,Credit Card Payment,TOTAL CHECKING,,
11/22/2021,Zelle payment from AMANUEL YONAS 13070565967,Zelle payment from AMANUEL YONAS,300,credit,Transfer,TOTAL CHECKING,,
11/22/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,45.52,credit,Income,TOTAL CHECKING,,
11/22/2021,Zelle payment from AMANUEL YONAS 13069081390,Zelle payment from AMANUEL YONAS,300,credit,Transfer,TOTAL CHECKING,,
11/22/2021,Wal-Mart,WM SUPERC Wal-Mart Sup LONG BEAC,27.86,debit,Shopping,TOTAL CHECKING,,
11/22/2021,Spotify,Ext Credit Card Debit SPOTIFY,9.99,debit,Music,Mastercard Secure,,
11/20/2021,Seller Online LLC,Purchase from Seller Online LLC,2.99,debit,Shopping,PayPal Account,,
11/20/2021,from Credit Card,Withdraw from Credit Card,0.56,credit,Credit Card Payment,PayPal Account,,
11/20/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/19/2021,eBay Inc Shipping,Payment to eBay Inc Shipping,3.31,debit,Shipping,PayPal Account,,
11/19/2021,Chevron,CHEVRON 0091400,87.96,debit,Gas & Fuel,CREDITCARD Account,,
11/19/2021,CAPITAL ONE MOBILE payment AuthDate 19-N ov,CAPITAL ONE MOBILE PYMT AuthDate 19-N ov,33.37,credit,Credit Card Payment,CREDITCARD Account,,
11/19/2021,Intuit,GOOGLE *Intuit Inc,14.99,debit,Electronics & Software,CREDITCARD Account,,
11/19/2021,eBay,eBay O*03-07886-89511,46.64,debit,Shopping,CREDITCARD Account,,
11/19/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,180,credit,Income,TOTAL CHECKING,,
11/18/2021,Amazon,AMZN MKTP US*QS2L76M93,37.55,debit,Shopping,CREDITCARD Account,,
11/18/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/18/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,165,credit,Income,TOTAL CHECKING,,
11/18/2021,EBAY EDI PYMNTS TX91 17309700XT CCD ID: 3263863381,EBAY             EDI PYMNTS TX91,12,credit,Income,TOTAL CHECKING,,
11/18/2021,Ext Credit Card Debit Interest Charge on Purcha,Ext Credit Card Debit Interest C,41.68,debit,Finance Charge,Mastercard Secure,,
11/17/2021,"Cedar Lake Ventures, Inc","Payment to Cedar Lake Ventures, Inc",3.99,debit,Business Services,PayPal Account,,
11/17/2021,ATM CASH DEPOSIT 11/17 3738 CREN SHAW BLVD LOS ANGELES CA,ATM CASH DEPOSIT 11/17 3738 CREN,230,credit,Income,BUS COMPLETE CHK,,
11/17/2021,Amazon,Amazon.com*RF4KX5653,5.18,debit,Shopping,CREDITCARD Account,,
11/17/2021,eBay,eBay O*11-07699-59617,51.24,credit,Shopping,CREDITCARD Account,,
11/17/2021,Curri Direct Ca,Curri Inc. VISA DIRECT CA,65.59,credit,Income,TOTAL CHECKING,,
11/17/2021,24 Hour Fitness,Ext Credit Card Debit 24 HOUR FI,43.06,debit,Gym,Mastercard Secure,,
11/16/2021,FPB CR CARD INTERNET W EB203988788 WEB ID: 3411894456,FPB CR CARD      INTERNET      W,10.4,debit,Credit Card Payment,TOTAL CHECKING,,
11/16/2021,Deposit Square Inc T1381969 Cash App T200421650174,ACH Deposit Square Inc T1381969,25,credit,Transfer,Dividend Rewards Checking,,
11/15/2021,Deposit BA7E48A970CA44F PAYMENTS,ACH Deposit BA7E48A970CA44F   PA,312.25,credit,Income,Dividend Rewards Checking,,
11/15/2021,Jasper JSPayment 1500 927 WEB ID: 1475203075,Jasper           JSPayment  1500,6.03,debit,Misc Expenses,TOTAL CHECKING,,
11/15/2021,Arco,ARCO #42186 LOS ANGELES CA,12.31,debit,Gas & Fuel,TOTAL CHECKING,,
11/15/2021,Arco,ARCO #42186 LOS ANGELES CA,29.94,debit,Gas & Fuel,TOTAL CHECKING,,
11/15/2021,Primerica,PRIMERICA LIFE   INS. PREM,97.63,debit,Life Insurance,TOTAL CHECKING,,
11/15/2021,Internal Revenue Service,IRS              USATAXPYMT,300,debit,Federal Tax,TOTAL CHECKING,,
11/14/2021,Auto Draft Sioux,AUTO DRAFT PAYMENT SIOUX FALLS SD,10.4,credit,Credit Card Payment,First Premier Bankcard,,
11/13/2021, Here DANNY JAMES JACKSON III- Fee Amount,PayPal Here DANNY JAMES JACKSON III- Fee Amount,0.27,debit,Hobbies,PayPal Account,,
11/13/2021,Here Danny James,PayPal Here DANNY JAMES JACKSON III,10,credit,Income,PayPal Account,,
11/13/2021,Amazon,Amazon Prime*Z33S86Q43,14.22,debit,Shopping,CREDITCARD Account,,
11/13/2021,Gotham Bail Bonds,GOTHAM BAIL BONDS,500,debit,Business Services,CREDITCARD Account,,
11/13/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
11/13/2021,Facebook,FACEBK CJVAZ9TDK2,50,debit,Advertising,CREDITCARD Account,,
11/13/2021,Home Depot,THE HOME DEPOT 1039,97.46,debit,Shopping,CREDITCARD Account,,
11/13/2021,Gotham Bail Bonds,Ext Credit Card Debit GOTHAM BAI,1500,debit,Business Services,Mastercard Secure,,
11/12/2021,Craigslist.org,CRAIGSLIST.ORG,5,debit,Advertising,CREDITCARD Account,,
